Volcano_Name,Network,Station,Latitude,Longitude,Elevation,Starttime,Endtime
Newberry,9G,NM40,43.718311,-121.27964,1965.9,2012-09-05T00:00:00,2015-02-14T23:59:59
Newberry,9G,NM41,43.710621,-121.291206,1686.6,2012-09-01T00:00:00,2015-02-14T23:59:59
Newberry,9G,NM42,43.750591,-121.279167,2016.4,2012-09-01T00:00:00,2015-02-14T23:59:59
Newberry,9G,NN07,43.751469,-121.325089,1686.6,2012-09-01T00:00:00,2015-02-14T23:59:59
Newberry,9G,NN09,43.73317,-121.33255,1671.1,2012-09-05T00:00:00,2015-02-14T23:59:59
Newberry,9G,NN17,43.72076,-121.327507,1701.0,2012-09-01T00:00:00,2015-02-14T23:59:59
Newberry,9G,NN18,43.737579,-121.302116,1838.5,2012-09-01T00:00:00,2015-02-14T23:59:59
Newberry,9G,NN19,43.718319,-121.306953,1804.4,2012-09-01T00:00:00,2015-02-14T23:59:59
Newberry,9G,NN21,43.73317,-121.289871,1904.6,2012-09-01T00:00:00,2015-02-14T23:59:59
Newberry,9G,NN24,43.732059,-121.308861,1809.7,2012-09-01T00:00:00,2015-02-14T23:59:59
Newberry,9G,NN32,43.70385,-121.327477,1679.7,2012-09-01T00:00:00,2015-02-14T23:59:59
Newberry,CC,ASBU,43.82056,-121.368401,1538.0,2011-11-16T00:00:00,2022-06-28T17:53:40
Newberry,CC,CIHL,43.75097,-121.14862,1966.0,2011-08-17T00:00:00,2022-06-23T09:30:00
Newberry,CC,CPCO,43.72201,-121.23319,2135.0,2011-08-10T00:00:00,2022-06-22T21:50:00
Newberry,CC,KWBU,43.752399,-121.311852,1783.0,2011-08-18T00:00:00,2022-06-28T18:21:50
Newberry,CC,NORM,43.73896,-121.252678,1286.0,2011-08-24T00:00:00,2022-06-28T19:29:05
Newberry,CC,SVIC,43.643082,-121.253273,1765.0,2011-08-24T00:00:00,2599-12-31T23:59:59
Newberry,CC,SWNB,43.67274,-121.35535,1569.0,2011-08-21T00:00:00,2022-06-21T21:10:00
Newberry,CC,TMBU,43.60189,-121.14451,1743.0,2011-08-24T00:00:00,2022-06-23T17:25:00
Newberry,UO,PIN,43.811001,-120.8731,1865.0,2000-02-09T00:00:00,2010-09-26T00:00:00
Newberry,UO,PINE,43.79211,-120.94066,1914.0,2010-09-27T00:00:00,2599-12-31T23:59:59
Newberry,UW,LPHS,43.680809,-121.509407,1290.0,2011-03-21T00:00:00,2012-12-21T00:00:00
Newberry,UW,NCO,43.703838,-121.139458,1908.0,1997-06-18T00:00:00,2599-12-31T23:59:59
Newberry,UW,NN17,43.720741,-121.327461,1701.0,2012-08-18T00:00:00,2016-10-01T00:00:00
Newberry,UW,NN19,43.7183,-121.306953,1793.0,2012-08-18T00:00:00,2599-12-31T23:59:59
Newberry,UW,NN21,43.73317,-121.289879,1903.0,2012-08-18T00:00:00,2599-12-31T23:59:59
Newberry,UW,NN32,43.70385,-121.327477,1401.0,2014-02-04T00:00:00,2016-10-01T00:00:00
Newberry,UW,RMHA,43.824322,-121.49173,1273.0,2010-09-24T00:00:00,2011-11-29T00:00:00
Rainier,CC,CARB,46.98832,-122.00541,872.47,2018-10-16T00:00:00,2022-05-26T00:00:00
Rainier,CC,CRBN,46.988131,-121.961063,499.08,2020-10-22T00:00:00,2599-12-31T23:59:59
Rainier,CC,GTWY,46.740163,-121.916765,617.235,2020-10-28T20:00:00,2599-12-31T23:59:59
Rainier,CC,KAUT,46.730263,-121.85739,689.0,2020-09-02T00:00:00,2599-12-31T23:59:59
Rainier,CC,OBSR,46.899719,-121.815331,2382.0,2008-11-19T00:00:00,2599-12-31T23:59:59
Rainier,CC,OPCH,46.731319,-121.571171,592.43,2020-10-26T00:00:00,2599-12-31T23:59:59
Rainier,CC,PANH,46.859032,-121.642592,2086.0,2007-09-15T00:00:00,2599-12-31T23:59:59
Rainier,CC,PARA,46.786442,-121.742149,1651.18,2020-10-07T00:00:00,2599-12-31T23:59:59
Rainier,CC,PR01,46.910112,-122.037569,648.0,2016-11-03T00:00:00,2599-12-31T23:59:59
Rainier,CC,PR02,46.918305,-122.048639,461.0,2016-11-17T00:00:00,2599-12-31T23:59:59
Rainier,CC,PR03,46.903392,-122.032623,522.0,2017-10-12T00:00:00,2599-12-31T23:59:59
Rainier,CC,PR04,46.929773,-121.988592,908.0,2017-10-12T00:00:00,2599-12-31T23:59:59
Rainier,CC,PR05,46.841723,-121.948863,1553.0,2017-09-28T00:00:00,2599-12-31T23:59:59
Rainier,CC,RUSH,46.90306,-121.94439,1235.0,2019-06-20T00:00:00,2599-12-31T23:59:59
Rainier,CC,SIFT,46.86683,-121.95329,732.0,2019-06-20T00:00:00,2022-06-21T00:00:00
Rainier,CC,SR41,46.88668,-121.536642,1454.0,2015-07-09T00:00:00,2018-04-28T00:00:00
Rainier,CC,VOIT,46.96633,-121.9834,977.1,2019-09-25T00:00:00,2599-12-31T23:59:59
Rainier,UW,FMW,46.941399,-121.670998,1859.0,1999-10-22T00:00:00,2599-12-31T23:59:59
Rainier,UW,GLK,46.557499,-121.610733,1305.0,1999-10-19T00:00:00,2017-12-07T00:00:00
Rainier,UW,LO2,46.750599,-121.809601,853.0,1995-01-19T00:00:00,2599-12-31T23:59:59
Rainier,UW,LON,46.750599,-121.809601,853.0,2000-03-02T00:00:00,2599-12-31T23:59:59
Rainier,UW,RCM,46.83564,-121.732979,3085.0,1998-09-29T00:00:00,2599-12-31T23:59:59
Rainier,UW,RCS,46.870831,-121.732307,2877.0,2001-09-04T00:00:00,2599-12-31T23:59:59
Rainier,UW,RER,46.81905,-121.842133,1756.0,1997-09-09T00:00:00,2599-12-31T23:59:59
Rainier,UW,RVC,46.94408,-121.97419,1000.0,2000-08-08T00:00:00,2021-01-10T00:00:00
Rainier,UW,STAR,46.850849,-121.792953,3365.0,2008-09-15T00:00:00,2599-12-31T23:59:59
Rainier,UW,WPW,46.698639,-121.537338,1280.0,1995-01-19T00:00:00,2017-04-19T00:00:00
Rainier,XD,MB07,46.623779,-122.042389,878.0,2014-05-01T00:00:00,2016-12-31T23:59:59
St_Helens,CC,AWST,46.14465,-121.77136,1159.0,2017-10-18T00:00:00,2020-01-01T00:00:00
St_Helens,CC,JRO,46.27527,-122.21826,1219.0,2004-10-02T00:00:00,2599-12-31T23:59:59
St_Helens,CC,NED,46.200249,-122.185493,2060.0,2004-11-20T00:00:00,2013-05-01T00:00:00
St_Helens,CC,REM,46.2002,-122.1855,1905.44,2019-07-25T00:00:00,2599-12-31T23:59:59
St_Helens,CC,SEP,46.19978,-122.190857,2114.0,2004-11-05T00:00:00,2599-12-31T23:59:59
St_Helens,CC,STD,46.236828,-122.224084,1259.0,2004-10-05T00:00:00,2599-12-31T23:59:59
St_Helens,CC,SUG,46.215549,-122.176262,1859.0,2009-08-07T00:00:00,2599-12-31T23:59:59
St_Helens,CC,SWF2,46.178288,-122.216544,1538.0,2013-08-29T00:00:00,2599-12-31T23:59:59
St_Helens,CC,SWFL,46.18867,-122.20203,2268.0,2006-10-01T00:00:00,2013-08-28T00:00:00
St_Helens,CC,VALT,46.214218,-122.189247,1681.0,2006-09-30T00:00:00,2599-12-31T23:59:59
St_Helens,PB,B201,46.303299,-122.264801,990.0,2007-09-13T00:00:00,2599-12-31T23:59:59
St_Helens,PB,B202,46.244701,-122.136703,1218.6,2007-07-25T00:00:00,2599-12-31T23:59:59
St_Helens,PB,B203,46.168999,-122.333664,814.4,2007-07-19T00:00:00,2599-12-31T23:59:59
St_Helens,PB,B204,46.136,-122.169,784.2,2007-08-03T00:00:00,2599-12-31T23:59:59
St_Helens,UW,CDF,46.11689,-122.046227,756.0,1997-06-16T00:00:00,2599-12-31T23:59:59
St_Helens,UW,EDM,46.19717,-122.15121,1609.0,1995-01-19T00:00:00,2599-12-31T23:59:59
