Clustered,datetime
24,2013-12-25T04:02:20.490000
24,2014-02-09T19:26:59.960000
25,2013-12-28T04:52:05.470000
25,2014-01-01T10:38:09.810000
25,2014-01-02T05:37:23.930000
25,2014-01-02T09:38:48.460000
25,2014-01-04T09:33:54.360000
26,2013-12-28T11:16:11.260000
26,2014-01-01T08:04:17.280000
26,2014-01-01T10:23:32.090000
26,2014-01-04T10:42:17.820000
26,2014-01-04T13:49:35.510000
26,2014-01-04T14:15:20.850000
26,2014-01-04T14:52:27.460000
26,2014-01-04T16:01:33.610000
26,2014-01-05T00:19:37.070000
26,2014-01-05T04:18:21.400000
26,2014-01-05T07:01:38.650000
26,2014-01-05T07:35:30.750000
27,2014-01-02T03:59:16.620000
27,2014-01-05T03:39:22.130000
28,2014-01-15T14:48:11.050000
28,2014-01-16T04:01:31.480000
29,2014-01-17T02:53:25.190000
29,2014-01-17T03:42:15.930000
29,2014-01-17T05:01:08.920000
30,2014-01-17T08:14:58.930000
30,2014-01-17T11:47:16.140000
31,2014-01-21T14:46:34.780000
31,2014-01-22T14:50:18.980000
32,2014-01-21T17:30:51.240000
32,2014-01-22T17:42:03.470000
33,2014-01-25T17:41:09.490000
33,2014-01-25T18:21:46.700000
33,2014-01-26T17:54:21.770000
34,2014-01-25T19:43:38.160000
34,2014-01-25T19:47:44.690000
35,2014-01-26T06:23:56.060000
35,2014-01-26T15:41:04.280000
36,2014-01-26T10:42:35.200000
36,2014-01-26T11:48:20.580000
37,2014-01-26T16:44:01.870000
37,2014-01-26T17:32:15.830000
38,2014-03-04T21:57:33.900000
38,2014-03-05T00:36:03.470000
38,2014-03-07T15:32:35.940000
38,2014-03-08T00:47:56.200000
39,2014-03-10T05:05:13.420000
39,2014-03-10T05:30:18.040000
39,2014-03-10T05:33:19.880000
39,2014-03-10T05:40:28.110000
39,2014-03-10T06:23:47.730000
39,2014-03-10T07:50:03.080000
39,2014-03-10T10:19:10.120000
39,2014-03-10T10:47:26.790000
39,2014-03-11T08:06:14.140000
39,2014-03-11T19:22:45.620000
39,2014-03-12T09:09:10.640000
39,2014-03-21T14:38:40.920000
39,2014-03-23T16:38:50.560000
39,2018-05-07T23:52:08.820000
40,2014-03-13T07:48:16.500000
40,2014-03-15T12:29:06.630000
40,2014-03-16T09:38:27.170000
40,2014-03-18T05:58:42.370000
41,2014-03-15T06:57:18.340000
41,2014-03-15T10:19:23.630000
42,2014-03-19T07:57:29.790000
42,2014-03-19T10:08:38.720000
43,2014-03-21T07:24:23.390000
43,2014-03-21T07:46:05.930000
43,2014-03-21T08:57:32.070000
43,2014-03-21T09:20:40.770000
43,2014-03-21T09:38:27.690000
43,2014-03-22T06:14:45.320000
43,2014-03-22T07:27:30.830000
43,2014-03-22T07:59:07.370000
43,2014-03-22T08:20:47.800000
43,2014-03-22T14:42:53.420000
43,2014-03-23T08:05:13.080000
44,2014-03-22T08:24:08.720000
44,2014-03-23T10:51:04.370000
45,2014-03-22T13:37:33.260000
45,2014-03-23T09:36:44.760000
45,2014-03-23T12:29:18.530000
46,2014-03-23T05:21:41.820000
46,2014-03-24T07:50:19.580000
47,2014-03-23T05:50:36.770000
47,2014-03-24T08:06:49.420000
48,2014-03-23T13:16:13.810000
48,2014-03-24T08:47:56.850000
49,2014-04-26T05:09:25.880000
49,2014-04-26T05:09:45.430000
50,2014-05-06T06:38:33.480000
50,2014-05-06T08:38:53.650000
51,2014-06-08T18:49:49.260000
51,2014-06-09T11:50:44.840000
51,2015-01-11T11:47:53.300000
51,2016-01-02T19:32:04.990000
52,2014-07-12T00:34:58.250000
52,2014-07-12T12:16:34.320000
52,2014-07-12T16:52:52.750000
52,2014-07-13T06:09:14.150000
52,2014-07-18T21:53:46.830000
52,2014-07-19T16:32:23.920000
52,2014-07-21T22:43:07.180000
52,2014-07-24T01:50:55.510000
52,2014-07-24T02:41:57.900000
52,2014-08-01T06:51:15.570000
52,2014-08-05T03:22:13.720000
52,2014-08-05T08:31:54.190000
52,2014-08-05T10:34:23.400000
52,2014-08-05T11:46:44.160000
52,2014-08-06T03:32:30.510000
52,2014-08-10T20:18:29.250000
52,2014-08-13T12:17:34.950000
52,2014-08-16T15:11:24.010000
52,2014-08-19T03:11:09.630000
52,2014-08-31T07:40:34.540000
52,2014-09-09T22:26:36.420000
52,2014-09-10T11:30:21.730000
52,2014-09-15T13:17:10.720000
52,2014-09-20T02:41:26.610000
52,2014-09-20T05:13:40.610000
52,2014-09-20T09:46:58.600000
52,2014-09-23T09:46:43.010000
52,2014-10-01T13:50:19.640000
52,2014-10-01T13:58:27.590000
52,2014-11-05T07:40:23.070000
52,2014-11-05T07:49:38.880000
52,2014-11-05T12:00:18.220000
52,2014-11-05T12:56:38
52,2014-11-06T12:16:43.670000
52,2014-11-06T12:55:32.400000
52,2014-11-07T06:07:17.360000
52,2014-11-07T10:45:42.130000
52,2014-11-07T10:50:59.340000
52,2014-11-07T11:08:32.870000
52,2014-11-07T20:03:53.660000
52,2014-11-08T01:53:30.970000
52,2014-11-08T02:09:27.930000
52,2014-11-08T04:24:25.010000
52,2014-11-08T05:45:27.600000
52,2014-11-08T10:48:41.060000
52,2014-11-08T13:46:21.690000
52,2014-11-09T05:22:26.650000
52,2014-11-12T15:19:01.420000
52,2014-11-12T15:29:38.970000
52,2014-11-12T17:19:45.160000
52,2014-11-13T06:48:22.370000
52,2014-11-13T10:22:58.300000
52,2014-11-15T08:43:06.740000
52,2014-11-15T14:44:33.900000
52,2014-11-16T08:42:46.260000
52,2014-11-16T17:37:04.480000
52,2014-11-17T08:41:47.430000
52,2014-11-22T10:13:48.160000
52,2014-12-04T13:49:55.370000
52,2014-12-26T04:03:26.580000
52,2014-12-26T18:20:20.660000
52,2014-12-27T03:43:02.260000
52,2015-01-02T13:51:09.630000
52,2015-01-14T09:07:34.650000
52,2015-01-22T09:29:07.950000
52,2015-01-22T10:50:36.450000
52,2015-01-22T15:08:14.400000
52,2015-01-22T16:35:43.770000
52,2015-01-22T20:08:31.390000
52,2015-01-23T02:49:21.070000
52,2015-01-23T13:31:38.610000
52,2015-01-23T18:48:58.880000
52,2015-01-31T19:47:01.350000
52,2015-02-04T23:25:39.070000
52,2015-02-16T06:32:36.930000
52,2015-02-16T13:47:39.010000
52,2015-02-17T03:10:55.800000
52,2015-02-20T19:12:41.640000
52,2015-02-21T03:50:44.560000
52,2015-02-21T14:22:58.780000
52,2015-02-25T12:20:52.540000
52,2015-02-25T12:51:58.740000
52,2015-03-03T20:36:37.540000
52,2015-03-05T01:13:16.170000
52,2015-03-07T00:41:04.440000
52,2015-03-08T13:23:44.570000
52,2015-03-10T08:47:16.840000
52,2015-03-17T04:00:18.510000
52,2015-03-27T06:29:16.110000
52,2015-03-27T06:59:20.720000
52,2015-04-08T21:00:36.300000
52,2015-04-19T23:55:22.440000
52,2015-04-27T05:44:53.210000
52,2015-07-16T03:25:04.250000
52,2015-07-16T09:46:44.130000
52,2015-07-16T10:06:41.900000
52,2015-07-16T11:04:02.100000
52,2015-07-16T12:32:55.520000
52,2015-07-17T13:01:34.220000
52,2015-07-19T11:17:49.510000
52,2015-07-23T10:39:40.340000
52,2015-07-24T15:22:38.940000
52,2015-07-30T15:23:24.780000
52,2015-09-14T14:12:18.430000
52,2015-09-14T14:39:11.350000
52,2015-09-14T15:44:58.690000
52,2015-09-14T16:30:25.450000
52,2015-09-14T18:07:41.080000
52,2015-09-14T23:03:00.710000
52,2015-09-17T20:48:37.240000
52,2015-09-19T07:22:01
52,2015-09-19T15:17:31.460000
52,2015-09-20T04:48:36.380000
52,2015-09-21T19:14:19.970000
52,2015-09-22T15:25:30.010000
52,2015-09-22T17:46:26.530000
52,2015-09-22T22:35:29.650000
52,2015-09-25T22:15:08.740000
52,2015-09-28T04:56:47.510000
52,2015-09-28T07:11:27.950000
52,2015-09-29T00:04:40.200000
52,2015-10-01T05:45:10.230000
52,2015-10-05T21:19:35.620000
52,2015-10-05T21:21:03.760000
52,2015-10-07T14:49:56.440000
52,2015-10-09T03:13:53.030000
52,2015-10-09T03:16:02.110000
52,2015-10-10T09:39:52.620000
52,2015-10-15T03:34:11.030000
52,2015-10-15T08:47:27.170000
52,2015-10-20T07:46:34.750000
52,2015-10-21T12:03:44
52,2015-10-24T23:50:48.100000
52,2015-11-08T07:21:29.690000
52,2015-11-14T03:16:00.580000
52,2015-11-21T20:01:18.190000
52,2015-12-06T00:00:43.870000
52,2015-12-15T02:48:01.400000
52,2015-12-30T23:53:35.010000
52,2016-01-05T07:46:55.670000
52,2016-02-09T22:00:52.610000
52,2016-02-22T05:48:53.830000
52,2016-02-23T03:45:44.900000
52,2016-02-23T10:11:35.030000
52,2016-04-05T16:49:47.930000
52,2016-04-13T02:02:39.110000
52,2016-04-16T10:05:20.370000
52,2016-04-27T07:34:00.470000
52,2016-05-18T08:13:08.530000
52,2016-06-07T12:11:26.230000
52,2017-04-23T08:21:40.370000
52,2018-11-30T05:32:40.860000
53,2014-07-12T12:16:03.890000
53,2014-07-12T16:52:22.320000
53,2014-07-13T06:08:43.710000
53,2014-07-21T17:36:00.100000
53,2014-07-21T22:42:36.700000
53,2014-07-24T02:41:27.410000
53,2014-08-10T20:17:58.790000
53,2014-08-13T12:17:04.490000
53,2014-08-16T15:10:53.550000
53,2014-09-09T22:26:05.940000
53,2014-09-10T11:29:51.220000
53,2014-09-20T02:40:55.140000
53,2014-09-20T09:46:27.130000
53,2014-09-23T09:46:11.540000
53,2014-10-01T13:49:48.190000
53,2014-10-01T13:57:56.110000
53,2014-11-05T07:15:24.890000
53,2014-11-05T07:49:07.470000
53,2014-11-05T09:06:16.070000
53,2014-11-05T12:13:29.350000
53,2014-11-07T11:14:13.370000
53,2014-11-08T11:28:09.110000
53,2014-11-12T14:53:33.400000
